department_name,orders,mean_profit,median_profit,loss_rate
Book Shop,405,2.180271624182716,6.929999828,19.25925925925926
Pet Shop,492,7.295243818321138,19.85000038,21.138211382113823
Discs Shop,2026,11.941322807234453,10.964999675,19.693978282329713
Golf,33220,14.976627328563065,21.12000084,18.99157134256472
Outdoors,9686,14.996021067374976,14.93000031,17.881478422465413
Apparel,48998,17.998345433553045,30.90999985,18.71709049348953
Fitness,2479,18.772916553706334,21.78000069,17.668414683340057
Health and Beauty ,362,26.22549716647514,66.86999893000001,23.480662983425415
Fan Shop,66861,27.432366190045048,46.25999832,18.705972091353704
Footwear,14525,28.24251281404179,40.31000137,18.595524956970742
Technology,1465,77.24915361251877,101.1999969,17.747440273037544
